country name,flag colors,star on flag,coat of arms on flag,borders the following countries,official languages,island,landlocked,equator,gdp over 1 trillion,population over 100 million,hosted world cup,hosted olympics,EU member,former communist,commonwealth,brics+ (member or partner),monarchy,multiple timezones,capital most populated,majority religion,drives on left side,Region (UN nations geoscheme)
Afghanistan,White Black,N,N,Pakistan/Iran/Turkmenistan/Uzbekistan/Tajikistan/China,Pashto Dari,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Islam,N,Southern Asia
Albania,Red Black,N,N,Greece/North Macedonia/Montenegro,Albanian,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Islam,N,Southern Europe
Algeria,Red White Green,Y,N,Tunisia/Libya/Niger/Mauritania/Mali/Morocco,Arabic Berber,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Northern Africa
Andorra,Blue Yellow Red Brown,N,Y,Spain/France,Catalan,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,Christianity,N,Southern Europe
Angola,Yellow Red Black,Y,N,Namibia/Democratic Republic of the Congo/Zambia/Republic of the Congo,Portuguese,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Christianity,N,Middle Africa
Antigua and Barbuda,Blue Yellow Red White Black,Y,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Caribbean
Argentina,Blue Yellow White Brown,Y,N,Paraguay/Bolivia/Brazil/Uruguay/Chile,,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Christianity,N,South America
Armenia,Blue Yellow Red,N,N,Azerbaijan/Georgia/Iran/Türkiye,Armenian,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Christianity,N,Western Asia
Australia,Blue Red White,Y,N,None,English,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,Y,N,No Majority,Y,Australia and New Zealand
Austria,Red White,N,N,Germany/Czechia/Slovakia/Hungary/Slovenia/Italy/Switzerland/Liechtenstein,German,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,Y,Christianity,N,Western Europe
